"WONUM","ASSETNUM","LINE","HNATOTALDT","HNACOMMODITY","FAILURECODE","PROBLEM_CODE","CAUSE_CODE","REMEDY_CODE","LEAD","SUPERVISOR","LABOR_COUNT","LABORHOURS","dt<=5","SHIFT","CREW","Date","WEEKDAYNUM","ISWEEKEND"
M37479350,A119898,"3EME",1,WIRE,MECHANICAL,STICKING,MISC,ADJUST,VF033527,VF045328,3,3.0,1,3,0,2022-12-19,2,0
M38052670,A119760,"3EMO",75,SWITCH,ELECTRICAL,NOPWRVOLT,MISC,REPLACE,VF040657,HA20804,3,4.25,0,1,1,2023-01-23,2,0
M38971447,A119970,"3EMB",0,PUMP,MECHANICAL,LEAKAGE,OPERATIONREL,REPLACE,VF032427,VF045328,1,0.25,1,1,1,2023-03-04,7,1
M39162846,A119779,"3EMO",0,SWITCH,ELECTRICAL,SHORTCIRCUIT,OPERATIONREL,REPLACE,VF031827,VF032781,1,0.1,1,1,1,2023-03-23,5,0
M39212213,A119760,"3EMO",120,MATERIAL GUIDE,MECHANICAL,LOOSENESS,OPERATIONREL,REPAIR,VF037510,HA19466,3,6.5,0,3,0,2023-03-27,2,0
M39213047,A119779,"3EMO",20,SWITCH,MECHANICAL,LOOSENESS,MISC,REPAIR,VF037510,HA19466,2,1.5,0,3,0,2023-03-27,2,0
M39219852,A119779,"3EMO",45,SWITCH,ELECTRICAL,FAULTPWRVOLT,DESIGNREL,REPAIR,VF032595,VF045328,3,3.0,0,1,1,2023-03-27,2,0
M39220028,A119779,"3EMO",15,SWITCH,MECHANICAL,CLEARALIGNFAIL,MISC,REPAIR,VF046345,VF045328,3,1.5,0,1,1,2023-03-27,2,0
M39220842,A119971,"3EMB",30,"NUTS, BOLTS, PINS",MECHANICAL,LOOSENESS,DESIGNREL,REPLACE,VF056054,VF045328,3,3.0,0,1,1,2023-03-27,2,0
M39290854,A119779,"3EMO",90,SWITCH,ELECTRICAL,SHORTCIRCUIT,MISC,REPAIR,HA20699,VF032781,3,6.0,0,3,0,2023-03-28,3,0
M39324512,A119779,"3EMO",5,VALVE,MECHANICAL,LEAKAGE,MISC,REPLACE,VF046729,VF045328,4,4.0,1,1,1,2023-03-28,3,0
M39324899,A119859,"3EMB",30,ACCUMULATOR,MECHANICAL,LOOSENESS,DESIGNREL,ADJUST,VF056054,VF045328,1,2.0,0,2,1,2023-03-28,3,0
M39381501,A119779,"3EMO",30,FASTENERS,MECHANICAL,LOOSENESS,MISC,ADJUST,HA23032,HA20804,3,3.0,0,1,1,2023-03-29,4,0
M39404450,A119779,"3EMO",103,ACTUATOR,MECHANICAL,VIBRATION,MISC,REPAIR,VF026838,HA19466,3,1.5,0,3,0,2023-03-30,5,0
M39456995,A119898,"3EME",10,OTHER,MECHANICAL,CLEARALIGNFAIL,MISC,RESET,VF039446,HA20804,1,0.3333333333333333,0,1,1,2023-03-30,5,0
M39458775,A119779,"3EMO",45,MACHINE LOADER,MECHANICAL,CLEARALIGNFAIL,MISC,RESET,HA23032,HA20804,2,2.0,0,1,1,2023-03-30,5,0
M39459949,A119779,"3EMO",15,SWITCH,EXTERNALINFL,CONTAMINT,OPERATIONREL,CLEAN,VF040535,HA19466,2,1.0,0,2,0,2023-03-30,5,0
M39460055,A119779,"3EMO",120,CAMERA,ELECTRICAL,FAULTPWRVOLT,MISC,CLEAN,VF026838,HA19466,3,6.0,0,3,0,2023-03-30,5,0
M39474766,A119971,"3EMB",30,OTHER,MATERIAL,EXCESSIVE,MISC,CLEAN,HA18137,HA19466,3,2.25,0,3,0,2023-03-31,6,0
M39502573,A119760,"3EMO",20,GRIPPER,MECHANICAL,CLEARALIGNFAIL,MISC,ADJUST,HA20699,VF032781,2,1.0,0,2,0,2023-03-30,5,0
M39531989,A119779,"3EMO",0,SWITCH,MECHANICAL,CLEARALIGNFAIL,MISC,ADJUST,VF046345,VF045328,2,4.0,1,2,1,2023-04-02,1,1
M39539861,A119898,"3EME",200,AMPLIFIER,ELECTRICAL,FAULTPWRVOLT,MISC,REPLACE,VF048682,VF032781,2,7.5,0,3,0,2023-04-03,2,0
M39540044,A119970,"3EMB",200,SWITCH,ELECTRICAL,EARTHISOFAULT,FABINSTALLREL,INVESTIGATE,VF044368,VF032781,2,7.6,0,3,0,2023-04-03,2,0
M39548116,A119992,"3EMB",10,SWITCH,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,CLEAN,VF033640,HA20804,1,0.5,0,3,0,2023-04-04,3,0
M39553268,A119898,"3EME",18,FEED TUBE,MECHANICAL,STICKING,MISC,ADJUST,VF040631,HA19466,2,3.0,0,1,1,2023-04-04,3,0
M39555574,A119898,"3EME",50,"NUTS, BOLTS, PINS",MECHANICAL,CLEARALIGNFAIL,MISC,REPAIR,VF033640,HA20804,3,4.5,0,3,0,2023-04-04,3,0
M39556156,A119971,"3EMB",40,ARM TOOLING,MECHANICAL,CLEARALIGNFAIL,MISC,REPAIR,VF033640,HA20804,3,3.0,0,3,0,2023-04-05,4,0
