WONUM,ASSETNUM,LINE,HNATOTALDT,HNACOMMODITY,FAILURECODE,PROBLEM_CODE,CAUSE_CODE,REMEDY_CODE,LEAD,SUPERVISOR,LABOR_COUNT,LABORHOURS,dt<=5,SHIFT,CREW,DATE,WEEKDAYNUM,ISWEEKEND
WONUM_1373,ASSET_009,LINE_001,1,WIRE,MECHANICAL,STICKING,MISC,ADJUST,LEAD_032,SUP_007,3.0,3.0,1,3,0,2022-12-19,2,0
WONUM_1774,ASSET_010,LINE_004,75,SWITCH,ELECTRICAL,NOPWRVOLT,MISC,REPLACE,LEAD_039,SUP_010,3.0,4.25,0,1,1,2023-01-23,2,0
WONUM_830,ASSET_003,LINE_002,0,PUMP,MECHANICAL,LEAKAGE,OPERATIONREL,REPLACE,LEAD_023,SUP_007,1.0,0.25,1,1,1,2023-03-04,7,1
WONUM_1407,ASSET_002,LINE_004,0,SWITCH,ELECTRICAL,SHORTCIRCUIT,OPERATIONREL,REPLACE,LEAD_002,SUP_008,1.0,0.1,1,1,1,2023-03-23,5,0
WONUM_1636,ASSET_010,LINE_004,120,MATERIAL GUIDE,MECHANICAL,LOOSENESS,OPERATIONREL,REPAIR,LEAD_044,SUP_003,3.0,6.5,0,3,0,2023-03-27,2,0
WONUM_1033,ASSET_002,LINE_004,20,SWITCH,MECHANICAL,LOOSENESS,MISC,REPAIR,LEAD_044,SUP_003,2.0,1.5,0,3,0,2023-03-27,2,0
WONUM_1799,ASSET_002,LINE_004,45,SWITCH,ELECTRICAL,FAULTPWRVOLT,DESIGNREL,REPAIR,LEAD_026,SUP_007,3.0,3.0,0,1,1,2023-03-27,2,0
WONUM_1507,ASSET_002,LINE_004,15,SWITCH,MECHANICAL,CLEARALIGNFAIL,MISC,REPAIR,LEAD_015,SUP_007,3.0,1.5,0,1,1,2023-03-27,2,0
WONUM_675,ASSET_008,LINE_002,30,"NUTS, BOLTS, PINS",MECHANICAL,LOOSENESS,DESIGNREL,REPLACE,LEAD_043,SUP_007,3.0,3.0,0,1,1,2023-03-27,2,0
WONUM_706,ASSET_002,LINE_004,90,SWITCH,ELECTRICAL,SHORTCIRCUIT,MISC,REPAIR,LEAD_007,SUP_008,3.0,6.0,0,3,0,2023-03-28,3,0
WONUM_291,ASSET_002,LINE_004,5,VALVE,MECHANICAL,LEAKAGE,MISC,REPLACE,LEAD_035,SUP_007,4.0,4.0,1,1,1,2023-03-28,3,0
WONUM_1328,ASSET_005,LINE_002,30,ACCUMULATOR,MECHANICAL,LOOSENESS,DESIGNREL,ADJUST,LEAD_043,SUP_007,1.0,2.0,0,2,1,2023-03-28,3,0
WONUM_1262,ASSET_002,LINE_004,30,FASTENERS,MECHANICAL,LOOSENESS,MISC,ADJUST,LEAD_011,SUP_010,3.0,3.0,0,1,1,2023-03-29,4,0
WONUM_1963,ASSET_002,LINE_004,103,ACTUATOR,MECHANICAL,VIBRATION,MISC,REPAIR,LEAD_030,SUP_003,3.0,1.5,0,3,0,2023-03-30,5,0
WONUM_1715,ASSET_009,LINE_001,10,OTHER,MECHANICAL,CLEARALIGNFAIL,MISC,RESET,LEAD_001,SUP_010,1.0,0.3333333333333333,0,1,1,2023-03-30,5,0
WONUM_781,ASSET_002,LINE_004,45,MACHINE LOADER,MECHANICAL,CLEARALIGNFAIL,MISC,RESET,LEAD_011,SUP_010,2.0,2.0,0,1,1,2023-03-30,5,0
WONUM_1539,ASSET_002,LINE_004,15,SWITCH,EXTERNALINFL,CONTAMINT,OPERATIONREL,CLEAN,LEAD_027,SUP_003,2.0,1.0,0,2,0,2023-03-30,5,0
WONUM_232,ASSET_002,LINE_004,120,CAMERA,ELECTRICAL,FAULTPWRVOLT,MISC,CLEAN,LEAD_030,SUP_003,3.0,6.0,0,3,0,2023-03-30,5,0
WONUM_221,ASSET_008,LINE_002,30,OTHER,MATERIAL,EXCESSIVE,MISC,CLEAN,LEAD_010,SUP_003,3.0,2.25,0,3,0,2023-03-31,6,0
WONUM_1563,ASSET_010,LINE_004,20,GRIPPER,MECHANICAL,CLEARALIGNFAIL,MISC,ADJUST,LEAD_007,SUP_008,2.0,1.0,0,2,0,2023-03-30,5,0
WONUM_1132,ASSET_002,LINE_004,0,SWITCH,MECHANICAL,CLEARALIGNFAIL,MISC,ADJUST,LEAD_015,SUP_007,2.0,4.0,1,2,1,2023-04-02,1,1
WONUM_959,ASSET_009,LINE_001,200,AMPLIFIER,ELECTRICAL,FAULTPWRVOLT,MISC,REPLACE,LEAD_036,SUP_008,2.0,7.5,0,3,0,2023-04-03,2,0
WONUM_679,ASSET_003,LINE_002,200,SWITCH,ELECTRICAL,EARTHISOFAULT,FABINSTALLREL,INVESTIGATE,LEAD_022,SUP_008,2.0,7.6,0,3,0,2023-04-03,2,0
WONUM_1815,ASSET_006,LINE_002,10,SWITCH,MECHANICAL,CLEARALIGNFAIL,DESIGNREL,CLEAN,LEAD_018,SUP_010,1.0,0.5,0,3,0,2023-04-04,3,0
WONUM_162,ASSET_009,LINE_001,18,FEED TUBE,MECHANICAL,STICKING,MISC,ADJUST,LEAD_034,SUP_003,2.0,3.0,0,1,1,2023-04-04,3,0
WONUM_1169,ASSET_009,LINE_001,50,"NUTS, BOLTS, PINS",MECHANICAL,CLEARALIGNFAIL,MISC,REPAIR,LEAD_018,SUP_010,3.0,4.5,0,3,0,2023-04-04,3,0
WONUM_967,ASSET_008,LINE_002,40,ARM TOOLING,MECHANICAL,CLEARALIGNFAIL,MISC,REPAIR,LEAD_018,SUP_010,3.0,3.0,0,3,0,2023-04-05,4,0
WONUM_054,ASSET_001,LINE_002,412,VALVE,HYDRAULIC,LEAKAGE,MISC,REPLACE,LEAD_018,SUP_010,7.0,23.0,0,3,0,2023-04-05,4,0
WONUM_1083,ASSET_002,LINE_004,30,SWITCH,ELECTRICAL,FAULTPWRVOLT,OPERATIONREL,INVESTIGATE,LEAD_035,SUP_007,3.0,3.0,0,1,1,2023-04-06,5,0
WONUM_879,ASSET_009,LINE_001,30,ACCUMULATOR,MECHANICAL,STICKING,MISC,RESET,LEAD_031,SUP_008,2.0,1.2,0,3,0,2023-04-07,6,0
WONUM_1649,ASSET_002,LINE_004,25,SWITCH,MECHANICAL,STICKING,MISC,CLEAN,LEAD_006,SUP_008,1.0,0.4166666666666667,0,3,0,2023-04-07,6,0
WONUM_518,ASSET_001,LINE_002,30,OTHER,MECHANICAL,CLEARALIGNFAIL,MISC,ADJUST,LEAD_010,SUP_003,2.0,1.5,0,1,1,2023-04-07,6,0
WONUM_142,ASSET_008,LINE_002,30,OTHER,ELECTRICAL,FAULTPWRVOLT,MISC,CLEAN,LEAD_010,SUP_003,2.0,2.0,0,1,1,2023-04-07,6,0
WONUM_580,ASSET_009,LINE_001,60,SWITCH,ELECTRICAL,FAULTPWRVOLT,MISC,REPAIR,LEAD_034,SUP_003,5.0,7.0,0,1,1,2023-04-07,6,0
WONUM_654,ASSET_002,LINE_004,45,MACHINE LOADER,ELECTRICAL,FAULTPWRVOLT,MISC,RESET,LEAD_044,SUP_003,3.0,2.25,0,1,1,2023-04-07,6,0
